,track_id,track,artist,album,track_popularity,acousticness,danceability,energy,instrumentalness,loudness,tempo
85,0grFc6klR3hxoHLcgCYsF4,Howlin' for You,The Black Keys,Brothers,69,0.028,0.705,0.735,0.0783,-6.646,132.627
86,0bePGTDjn0XuEKoN7rOMvV,Undercover Martyn,Two Door Cinema Club,Tourist History,70,0.000244,0.454,0.873,1.73e-05,-5.072,159.814
87,1ZHYJ2Wwgxes4m8Ba88PeK,Monster,Kanye West,My Beautiful Dark Twisted Fantasy,73,0.00244,0.628,0.692,0.0129,-5.64,124.887
88,2LZ2CNbcbJrwh53pitRgom,Silver Soul,Beach House,Teen Dream,69,0.467,0.356,0.67,0.000106,-5.825,135.032
89,4ycLiPVzE5KamivXrAzGFG,Fuck You,CeeLo Green,The Lady Killer,69,0.129,0.69,0.834,0.0,-5.79,127.43
90,75L0qdzRnhwV62UXoNq3pE,Up All Night,Drake,Thank Me Later,68,0.00782,0.606,0.811,1.49e-05,-4.667,156.347
91,4UEo1b0wWrtHMC8bVqPiH8,Nightmare,Avenged Sevenfold,Nightmare,73,0.000318,0.554,0.949,9.98e-05,-4.928,129.984
92,5omWAB5iNMHvbAfBSzkdu8,You're Going Down,Sick Puppies,Tri-polar,68,0.0116,0.488,0.842,0.00127,-5.926,90.003
93,6DkXLzBQT7cwXmTyzAB1DJ,What's My Name?,Rihanna,Loud (Japan Version),74,0.182,0.689,0.784,0.0,-2.972,99.954
94,3DrjZArsPsoqbLzUZZV1Id,Back To December,Taylor Swift,Speak Now,68,0.117,0.529,0.67,0.0,-4.663,141.893
95,2G8PweZBBwTpyP8vpNQJK2,Caraphernelia,Pierce The Veil,Selfish Machines,70,0.0017,0.531,0.984,1.13e-05,-3.767,107.036
96,03xWMkKEbeO4SnylA53ipj,"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",Mandy Moore,Tangled,72,0.112,0.673,0.42,0.0,-7.581,108.066
97,4sNwdacKyi2S26WrRtNama,Oh No!,MARINA,The Family Jewels,73,0.0539,0.77,0.896,0.0,-3.971,126.999
98,3Q8zopc4ABXhysDb1sgLVW,Porn Star Dancing,My Darkest Days,My Darkest Days,69,0.0139,0.477,0.917,0.0,-3.399,160.021
99,1CdqVF1ywD0ZO1zXtB9yWa,Break Your Heart,Taio Cruz,Rokstarr,69,0.00155,0.666,0.899,0.0,-4.676,122.05
100,215FCyLSBcXeX0NASXEjyn,My Kinda Party,Jason Aldean,My Kinda Party,68,0.0167,0.41,0.9,1.09e-05,-4.249,176.962
101,0U0ldCRmgCqhVvD6ksG63j,Nightcall,Kavinsky,Nightcall,76,0.00842,0.532,0.874,0.012,-5.183,91.038
102,3bMNprrp2JDKZsGbiXpsJl,My Chick Bad,Ludacris,Battle Of The Sexes (Deluxe),69,0.172,0.624,0.723,0.0,-6.782,84.789
103,4GRFzKI7jTZ3kbMfouc7bn,Backstabber,Kesha,Animal (Expanded Edition),75,0.0666,0.6,0.939,6.18e-06,-1.794,159.941
104,79gkHjNTSyGPXEyGkNQ8zH,Cuando Me Enamoro,Enrique Iglesias,Euphoria (Standard US/Latin version),74,0.0104,0.821,0.819,5.49e-05,-3.627,126.03
105,6BaxqcoEM9r3LXisTyJjST,Ridin' Solo,Jason Derulo,Jason Derulo,66,0.128,0.442,0.83,0.0,-4.02,89.338
106,4o4wEDRqotccDTXiQ7TORu,Un-thinkable (I'm Ready) (feat. Drake) - Remix,Alicia Keys,Un-thinkable (I'm Ready) (feat. Drake) [Remix],70,0.728,0.531,0.603,0.0,-6.242,86.162
107,07p0kLnvfQQ2bLujHyzSGK,Rechazame,Prince Royce,Prince Royce,75,0.0749,0.73,0.867,6.81e-06,-1.946,130.02
108,23SZWX2IaDnxmhFsSLvkG2,Gorgeous,Kanye West,My Beautiful Dark Twisted Fantasy,72,0.0207,0.598,0.713,0.000175,-3.625,91.964
109,6d67Xv8ms2noA8wWFLiPDN,Twilight,bôa,Twilight,72,0.158,0.386,0.826,0.000489,-7.847,187.094
110,4nVyHATevhl5RC6Qmoko5H,I Like It,Enrique Iglesias,Euphoria (Standard US/Latin version),68,0.0209,0.646,0.94,0.0,-2.856,129.011
111,7zKlSAsmB3p5959tsmLeqn,Pretty Good At Drinkin' Beer,Billy Currington,Enjoy Yourself,67,0.427,0.769,0.678,8.04e-06,-3.725,106.951
112,6lKRMylSZMtA7EqPl0pcdI,Are You Satisfied?,MARINA,The Family Jewels,71,0.303,0.669,0.712,0.0,-4.992,124.009
113,11ozIUBoXAgRTVWelDn4pL,Lights,Ellie Goulding,An Introduction To Ellie Goulding EP,66,0.0721,0.703,0.731,0.00191,-6.283,120.028
114,0kOG4bwpKgRlcJw1NA6csR,Long Hot Summer Day,Turnpike Troubadours,Diamonds & Gasoline,66,0.0981,0.476,0.652,0.0,-5.783,145.356
115,17X2tSzibD9n9QRjdExcWT,Fly Over States,Jason Aldean,My Kinda Party,66,0.069,0.487,0.736,0.0,-3.269,81.587
116,7yNK27ZTpHew0c55VvIJgm,Dark Fantasy,Kanye West,My Beautiful Dark Twisted Fantasy,72,0.274,0.599,0.587,0.0,-5.919,87.998
117,2qPUnoasNe4Ep43emVXEig,Billionaire (feat. Bruno Mars),Travie McCoy,Lazarus,74,0.297,0.633,0.673,0.0,-6.403,86.776
118,6klpXs2uAjagnZMFkt4qkl,"I See the Light - From ""Tangled"" / Soundtrack Version",Mandy Moore,Tangled,71,0.829,0.281,0.139,0.0,-14.392,92.64
119,4o6k1XHlrIZay8v1m5VU83,A Warrior's Call,Volbeat,Beyond Hell / Above Heaven,71,0.00077,0.373,0.903,5.86e-06,-4.49,109.121
120,6Ozp6ac86CSHMik8lbvJuM,Love Like Crazy,Lee Brice,Love Like Crazy,67,0.0203,0.535,0.725,1.45e-05,-5.108,78.489
121,60TThBDrPpek5k520l0W0L,Black Sheep - Brie Larson Vocal Version,Metric,Black Sheep (Brie Larson Vocal Version),71,0.000278,0.462,0.599,0.000441,-5.735,123.938
122,25nzKGDiua1lE9Qo5V19GL,Young Blood,The Naked And Famous,"Passive Me, Aggressive You",70,5.63e-05,0.579,0.865,0.000221,-4.692,104.99
123,2nAHmQV9WKA6c1emQilxih,Diamonds & Gasoline,Turnpike Troubadours,Diamonds & Gasoline,66,0.67,0.473,0.423,0.0,-9.065,170.035
124,4a9i7rCLfPjbS1sNamZeQN,Cryin' Like A Bitch!!,Godsmack,The Oracle (Deluxe Edition),68,7.19e-05,0.543,0.808,0.00336,-5.484,95.19
125,65UCejW01DAovmluVYHWAt,As She's Walking Away (feat. Alan Jackson),Zac Brown Band,You Get What You Give,67,0.479,0.553,0.619,0.0,-7.101,183.908
126,4xInIiKipU1mtUogJ3ZdYr,American Honey,Lady A,Need You Now,67,0.508,0.588,0.684,0.0,-5.154,85.997
127,5oHHMDcVOmPSFrCgdbHPdb,It's Five O'Clock Somewhere,Alan Jackson,34 Number Ones,68,0.208,0.713,0.772,0.0,-6.69,125.202
128,0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,Sugarland,The Incredible Machine,67,0.329,0.702,0.795,0.0,-4.764,83.961
129,40i81AcCCxiVEFUWElcjZC,Sarcasm,Get Scared,Best Kind Of Mess,69,0.00238,0.387,0.929,7.22e-06,-4.825,180.359
130,2A5YAFeEwGi7KlGMYRf5dX,Nothing on You,B.o.B,May 25th,79,0.578,0.553,0.798,0.0,-5.992,103.948
131,78bcWFqyuhOrC8wnkpgcft,Race,Alex G,Race,70,0.0204,0.232,0.636,0.000509,-5.551,172.345
132,5uHYcK0nbEYgRaFTY5BqnP,Magic (feat. Rivers Cuomo),B.o.B,B.o.B Presents: The Adventures of Bobby Ray,68,0.0127,0.549,0.932,0.0,-4.11,82.439
133,4SE4yewyGpOYfxfx59Yjc5,Cinderella Man,Eminem,Recovery,71,0.234,0.679,0.908,0.0,-3.411,85.918
134,12PNcnMsjsZ3eHm62t8hiy,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,Victory,71,0.0139,0.545,0.781,0.0,-3.616,150.097
135,3pYDZTJM2tVBUhIRifWVzI,Blow,Kesha,Cannibal (Expanded Edition),71,0.00334,0.753,0.729,5.66e-05,-3.862,120.013
136,7bHT9osSq1rwT2yaImzqCi,No Love,Eminem,Recovery,72,0.119,0.522,0.932,0.0,-2.87,129.473
137,7BcOUi4FQ3wBLmNTW0yfCR,The Spins,Mac Miller,K.I.D.S.,67,0.0135,0.794,0.766,0.0,-3.894,127.006
138,5yEPktRqvIhko5QFF3aBhQ,Mean,Taylor Swift,Speak Now,65,0.452,0.568,0.761,0.0,-3.987,163.974
139,4JsDHMv5PVO8N07DbDq33r,All I Want,A Day To Remember,What Separates Me From You,70,2.58e-05,0.349,0.981,0.0,-3.228,160.042
140,0dBW6ZsW8skfvoRfgeerBF,Mine,Taylor Swift,Speak Now,65,0.00265,0.624,0.757,1.87e-06,-2.94,121.07
141,6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,31 Minutes to Takeoff,69,0.00296,0.699,0.882,0.0544,-3.896,120.016
142,1t2hJFgJyUPD2crOafMUEk,You and Tequila (feat. Grace Potter),Kenny Chesney,Hemingway's Whiskey,66,0.437,0.691,0.454,0.00227,-9.13,135.839
143,2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),Travie McCoy,Billionaire (feat. Bruno Mars),76,0.297,0.633,0.673,0.0,-6.403,86.776
144,2MVwrvjmcdt4MsYYLCYMt8,Tighten Up,The Black Keys,Brothers,65,0.00121,0.504,0.705,4.12e-06,-6.179,108.965
145,5zGqTc1WQUe8XqqdnrpKTV,Farmer's Daughter,Rodney Atkins,It's America,66,0.224,0.612,0.791,0.0,-3.519,133.977
146,5BoIP8Eha5hwmRVURkC2Us,In My Head,Jason Derulo,Jason Derulo,64,0.0266,0.762,0.748,0.0,-4.15,110.009
147,7AqISujIaWcY3h5zrOqt5v,Forget You,CeeLo Green,The Lady Killer,66,0.134,0.696,0.875,0.0,-3.682,127.39
148,6Slt6WiWnriaqCb8xXb2ZT,Did It On’em,Nicki Minaj,Pink Friday,68,0.0445,0.562,0.414,0.0,-7.032,155.826
149,6KBYk8OFtod7brGuZ3Y67q,Misery,Maroon 5,Hands All Over (Deluxe),64,0.000315,0.704,0.81,0.0,-4.874,102.98
150,25GC50HslaaruyrKjdu0lP,Your Betrayal,Bullet For My Valentine,Fever,70,8.07e-05,0.569,0.883,7.74e-05,-4.41,134.001
151,0T8P86fvSK8kCUJFYPZbIH,All Signs Point To Lauderdale,A Day To Remember,What Separates Me From You,68,0.000263,0.425,0.983,0.0,-3.437,149.95
152,6d9IiDcFxtFVIvt9pCqyGH,Sparks Fly,Taylor Swift,Speak Now,64,0.0396,0.605,0.787,1.42e-06,-3.002,114.987
153,6bGac1gBHs7kUKihrudMzq,Bulletproof Love,Pierce The Veil,Selfish Machines,66,0.00205,0.452,0.964,5.31e-06,-2.877,144.048
154,62EcdBCqjB62CxnhgBkkJT,7 & 7,Turnpike Troubadours,Diamonds & Gasoline,64,0.0227,0.401,0.802,0.0,-5.278,191.093
155,3rLIv187BhjyweFe89SgLn,Somebody To Love,Justin Bieber,My World 2.0,72,0.00249,0.714,0.833,0.0,-5.239,129.964
156,5BB0Jzw60KyfSTyjJqtely,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,Danger Days: The True Lives of the Fabulous Killjoys,71,0.000264,0.411,0.986,0.00148,-2.522,165.981
157,0WCiI0ddWiu5F2kSHgfw5S,Take It Off,Kesha,Animal (Expanded Edition),70,4.14e-05,0.729,0.675,0.00126,-5.292,125.036
158,3eR3lWuvQqOzhTn91nbRCa,Something That I Want,Grace Potter,Tangled,67,0.0128,0.554,0.824,0.000802,-5.897,168.956
159,1rKBOL9kJfX1Y4C3QaOvRH,Boyfriend,Big Time Rush,BTR,66,0.0987,0.614,0.857,0.0,-4.171,164.146
160,7lWUJpax919G4JdaFEVmCy,Blah Blah Blah (feat. 3OH!3),Kesha,Animal (Expanded Edition),69,0.0843,0.752,0.836,0.000425,-3.173,120.003
161,2e9EZ2V5QGGZPMJacO3y0Y,Grove St. Party (feat. Kebo Gotti),Waka Flocka Flame,Flockaveli,64,0.138,0.705,0.702,0.0,-4.783,140.059
162,4ZlQzskKkK4jsbcqO96luB,Blow My Brains Out,Tikkle Me,Tikkle Me,69,0.0867,0.55,0.884,1.55e-05,-5.508,145.029
163,0KtKac3tvjeGjg6FXcUy7X,Time Bomb,Iration,Time Bomb,63,0.192,0.754,0.59,0.0,-6.525,147.107
164,1U3BASc885MPCYOzYwOIpO,When I'm Small,Phantogram,Eyelid Movies,64,0.189,0.646,0.759,0.0977,-4.34,91.999
165,0TCt7OFRdD8PQ6vTRQxNgQ,"I've Got a Dream - From ""Tangled""/Soundtrack Version",Mandy Moore,Tangled,67,0.639,0.604,0.541,0.0,-7.378,134.326
166,68pE8830rWrd5LSSfKcRqn,¿Por Qué Me Haces Llorar?,Juan Gabriel,Juan Gabriel,76,0.0374,0.647,0.477,9.54e-06,-8.157,112.041
167,2Adn2LNgkHMH5TelQVAu4n,Pretty Girl Rock,Keri Hilson,No Boys Allowed,66,0.203,0.666,0.87,0.0,-5.004,160.014
168,2ythurkTtSiyfK7GprJoFW,Better Than Revenge,Taylor Swift,Speak Now,64,0.0139,0.516,0.917,6.37e-06,-3.186,145.821
