,artist,artist_genres,artist_popularity,artist_followers
214,Soulja Boy,"['atl hip hop', 'chicago bop', 'dance pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",66,1876053
215,Darius Rucker,"['black americana', 'contemporary country', 'country', 'country road']",67,2484750
216,Iration,['reggae rock'],56,390414
217,Hans Zimmer,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']",74,3494362
218,Donna Murphy,['movie tunes'],48,7930
219,Chino & Nacho,"['electro latino', 'latin hip hop', 'latin pop', 'urbano latino']",63,2597996
220,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",78,10751861
221,Taylor Swift,['pop'],100,86026925
222,Taio Cruz,"['dance pop', 'pop', 'pop rap']",68,2272036
223,Mac Miller,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap']",82,9497713
224,John Fogerty,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'southern rock', 'swamp rock']",53,821603
225,All That Remains,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge']",57,1269557
226,Michael Franti & Spearhead,['reggae fusion'],55,207250
227,Taylor Swift,['pop'],100,86026925
228,Shontelle,"['barbadian pop', 'dance pop', 'post-teen pop']",52,723929
229,Los Alegres Del Barranco,"['corrido', 'musica mexicana', 'norteno', 'sierreno']",63,775346
230,Chris Tomlin,"['ccm', 'christian alternative rock', 'christian music']",64,1813549
231,Los Buitres De Culiacan Sinaloa,"['corrido', 'musica mexicana', 'norteno', 'sierreno']",59,976842
232,Cody Jinks,"['classic texas country', 'modern southern rock', 'outlaw country']",63,907226
233,Edward Maya,"['romanian house', 'romanian pop']",63,233638
234,Prince Royce,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",74,7964140
235,Don Omar,"['latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",81,10126538
236,3OH!3,"['dance pop', 'electropowerpop', 'pop punk', 'pop rap', 'post-teen pop']",60,957485
237,MARINA,"['metropopolis', 'pop', 'pov: indie', 'uk alternative pop']",71,4903431
238,Of Mice & Men,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'pop punk', 'post-grunge']",58,1253902
